  31/05/2010      33670
  01/06/2010      23700
  02/06/2010      23950
  03/06/2010      22455
  04/06/2010      10939
  05/06/2010      5498
  06/06/2010      23168
  07/06/2010      23096
  08/06/2010      23954
  09/06/2010      24102
  10/06/2010      22909
  11/06/2010      11639
  12/06/2010      6770
  13/06/2010      26603
  14/06/2010      25437
  15/06/2010      25597
  16/06/2010      24613
  17/06/2010      23166
  18/06/2010      11474
  19/06/2010      6659
  20/06/2010      26154
  21/06/2010      26301
